(I p:^0627ms) (sniffing) 01 01 01 01 01 FF 00 FC 1C 24 24 EC F8 1D 8F F4 F4 D4 0C 4C FC FC FC FC FC FC FC FC FC 2C E1 ED 89 C9 FF E9 FF FF 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 19 04 FF C7 C9 C9 FB FF AF DD 0B FD 01 01 01 01 01 01 01 01 01 01 01 01 01 01 FD F5 C3 D3 FF FF FF FF FF FF FF FF FF 01 01 01 01 01 01 FF 00 2C E1 ED 89 C9 FF E9 FF
(I p:^1013ms) (sniffing) FF 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 19 04 FF C7 C9 C9 FB FF AF DD 0B FD 01 01 01 01 01 01 01 01 01 01 01 01 01 01 FD F5 C3 D3 FF FF FF FF FF FF FF FF FF 01 01 01 01 01 01 FF 00 1C 24 24 EC FC 1D 8F F4 F4 D4 0C 4C FC FC FC FC FC FC FC FC FC 2C E1 ED 89 C9 FF E9 FF FF 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01
(I p:^1487ms) (sniffing) 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 19 04 FF C7 C9 C9 FB FF AF DD 0B FD 01 01 01 01 01 01 01 01 01 01 01 01 01 01 FD F5 C3 D3 FF FF FF FF FF FF FF FF FF 01 01 01 01 01 01 FF 00 2C E1 ED 89 C9 FF E9 FF FF 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 19 04 FF C7 C9 C9 FB FF AF DD 0B FD 01
(I p:^1012ms) (sniffing) 01 01 01 01 01 01 01 01 01 01 01 01 01 FD F5 C3 D3 FF FF FF FF FF FF FF FF FF 01 01 01 01 01 01 FF 00 FC 1C 24 24 EC FC 1D 8F F4 F4 D4 0C 4C FC FC FC FC FC FC FC FC FC 2C E1 ED 89 C9 FF E9 FF FF 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 19 04 FF C7 C9 C9 FB FF AF DD 0B FD 01 01 01 01 01 01 01 01 01 01 01 01 01 01 FD F5
(I p:^1465ms) (sniffing) C3 D3 FF FF FF FF FF FF FF FF FF 01 01 01 01 01 01 FF 00 2C E1 ED 89 C9 FF E9 FF FF 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 19 04 FF C7 C9 C9 FB FF AF DD 0B FD 01 01 01 01 01 01 01 01 01 01 01 01 01 01 FD F5 C3 D3 FF FF FF FF FF FF FF FF FF 01 01 01 01 01 01 FF 00 1C 24 24 EC FC 1D 8F 0D FC FC FC FC FC FC FC FC 2C E1
(I p:^1034ms) (sniffing) ED 89 C9 FF E9 FF FF 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 19 04 FF C7 C9 C9 FB FF AF DD 0B FD 01 01 01 01 01 01 01 01 01 01 01 01 01 01 FD F5 C3 D3 FF FF FF FF FF FF FF FF FF 01 01 01 01 01 01 FF 00 2C E1 ED 89 C9 FF E9 FF FF 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01
(I p:^1460ms) (sniffing) 01 01 01 01 01 01 01 01 01 19 04 FF C7 C9 C9 FB FF AF DD 0B FD 01 01 01 01 01 01 01 01 01 01 01 01 01 01 FD F5 C3 D3 FF FF FF FF FF FF FF FF FF 01 01 01 01 01 01 FF 00 06 1C 24 24 EC FC 1D 8F F4 F4 D4 0C 4C FC FC FC FC FC FC FC FC FC 2C E1 ED 89 C9 FF E9 FF FF 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 19 04 FF C7 C9 C9
(I p:^1037ms) (sniffing) FB FF AF DD 0B FD 01 01 01 01 01 01 01 01 01 01 01 01 01 01 FD F5 C3 D3 FF FF FF FF FF FF FF FF FF 01 01 01 01 01 01 FF 80 08 2C E1 ED 89 C9 FF E9 FF FF 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 19 04 FF C7 C9 C9 FB FF AF DD 0B FD 01 01 01 01 01 01 01 01 01 01 01 01 01 01 FD F5 C3 D3 FF FF FF FF FF FF FF FF FF 01 01 01
(I p:^1460ms) (sniffing) 01 01 01 FF 00 1C 24 24 EC FC 1D 8F F4 F4 D4 0C 4C FC FC FC FC FC FC FC FC FC 2C E1 ED 89 C9 FF E9 FF FF 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 19 04 FF C7 C9 C9 FB FF AF DD 0B FD 01 01 01 01 01 01 01 01 01 01 01 01 01 01 FD F5 C3 D3 FF FF FF FF FF FF FF FF FF 01 01 01 01 01 01 FF 00 2C E1 ED 89 C9 FF E9 FF FF 01 01
(I p:^1011ms) (sniffing) 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 19 04 FF C7 C9 C9 FB FF AF DD 0B FD 01 01 01 01 01 01 01 01 01 01 01 01 01 01 FD F5 C3 D3 FF FF FF FF FF FF FF FF FF 01 01 01 01 01 01 FF 00 06 1C 24 24 EC FC 1D 8F F4 F4 D4 0C 4C FC FC FC FC FC FC FC FC FC 2C E1 ED 89 C9 FF E9 FF FF 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01
(I p:^1485ms) (sniffing) 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 19 04 FF C7 C9 C9 FB FF AF DD 0B FD 01 01 01 01 01 01 01 01 01 01 01 01 01 01 FD F5 C3 D3 FF FF FF FF FF FF FF FF FF 01 01 01 01 01 01 FF 80 08 28 2C E1 ED 89 C9 FF E9 FF FF 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 19 04 FF C7 C9 C9 FB FF AF DD 0B FD 01
